state,targeted_accounts,recovery_7d,recovery_30d,recovery_7d_per_target,recovery_30d_per_target
Delhi,2145,5518541.87,20191234.1,2572.7467925407927,9413.162750582751
Haryana,1961,4138649.82,16574994.77,2110.479255481897,8452.317577766446
Karnataka,2096,3290607.68,17219067.67,1569.9464122137406,8215.204041030534
Maharashtra,4168,11097352.84,39983778.87,2662.5126775431863,9593.037156909788
Odisha,2236,5912457.4,20857830.84,2644.2117173524152,9328.189105545616
Rajasthan,2013,5396208.21,22132667.830000002,2680.6796870342773,10994.867277694984
Tamil Nadu,2136,4079727.5300000003,17957504.75,1909.9847986891386,8407.071512172284
Telangana,2198,4369189.08,20131173.29,1987.8021292083713,9158.859549590536
West Bengal,2091,5718658.2700000005,22594915.02,2734.8915686274513,10805.793888091823
,2300,6988772.96,22890829.55,3038.5969391304347,9952.534586956523
