local_hour_raw,calls,answered_calls,answer_rate_pct
0,3688,749,20.309110629067245
1,3799,777,20.452750723874704
2,3942,734,18.619989852866563
3,3831,770,20.099190811798486
4,3751,755,20.127965875766463
5,3864,737,19.073498964803314
6,3871,761,19.659002841642987
7,3850,758,19.68831168831169
8,3765,715,18.99070385126162
9,3751,782,20.84777392695281
10,3854,757,19.64193046185781
11,3891,710,18.247237214083782
12,3716,746,20.07534983853606
13,3871,772,19.943167140273832
14,3767,779,20.679585877355986
15,3685,723,19.620081411126186
16,3903,773,19.805277991288754
17,3683,762,20.689655172413794
18,3844,783,20.369406867845992
19,3841,743,19.343920853944287
20,3740,748,20.0
21,3767,782,20.75922484735864
22,3727,726,19.47947410786155
23,3949,804,20.359584704988603
